                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.054236,               0.029496,               0.012437,               0.024628,                0.76981,                0.38446,                0.49026,                0.19572,                0.78561,                0.38878,                0.50863,                0.25885,               0.035286,               0.018825,              0.0082111,               0.012424,               0.070044,              0.0033284,              0.0033284
                      1,               0.039598,               0.018448,              0.0060339,               0.013093,                 0.7747,                0.35966,                0.45197,                0.22362,                0.78415,                 0.3663,                 0.4574,                0.25413,               0.030365,               0.021251,              0.0082106,               0.013188,               0.039978,              0.0065958,              0.0065958
                      2,               0.038293,               0.019829,                 0.0053,               0.012752,              0.0059603,                0.24909,              0.0054913,              0.0013616,              0.0049753,                0.15417,              0.0043176,             0.00084975,               0.057744,               0.073834,               0.010047,               0.064761,              0.0098461,              0.0097972,              0.0097972
                      3,               0.038048,               0.021409,              0.0050895,               0.011946,                0.75942,                0.46061,                0.50593,                0.24478,                0.75251,                0.45076,                0.47819,                0.24793,               0.030242,               0.023538,              0.0078539,              0.0087189,               0.009703,               0.009703,               0.009703
                      4,               0.035952,               0.020345,              0.0048116,               0.010227,                0.54542,                0.52934,                0.52905,                0.25613,                0.56099,                0.54021,                0.54496,                0.28625,               0.027704,               0.019515,              0.0072108,               0.012135,               0.009703,               0.009703,               0.009703
                      5,               0.033129,               0.019077,              0.0045538,              0.0087192,                0.55037,                0.51291,                0.55327,                0.31012,                0.56308,                0.47943,                0.54221,                0.32735,               0.024268,               0.018748,               0.007202,               0.011841,               0.009604,               0.009604,               0.009604
                      6,               0.031683,               0.018532,              0.0043186,              0.0083465,                0.75814,                0.73129,                0.78167,                0.39735,                0.73242,                0.73202,                0.77301,                0.43263,               0.023663,               0.017123,              0.0064432,               0.005146,               0.009505,               0.009505,               0.009505
                      7,               0.030386,                0.01795,              0.0041945,              0.0074599,                0.60082,                0.63301,                0.66674,                0.36328,                0.60842,                0.64815,                0.68294,                0.39354,               0.023076,               0.016885,              0.0064493,              0.0064102,               0.009406,               0.009406,               0.009406
                      8,               0.030093,               0.017711,              0.0041029,              0.0067775,                0.58804,                0.56911,                0.67891,                0.39099,                0.64881,                0.57878,                0.68257,                0.40321,               0.022154,                0.01669,               0.006423,              0.0064874,               0.009307,               0.009307,               0.009307
                      9,               0.028531,               0.017168,               0.004018,              0.0065008,                0.66867,                0.71801,                0.71287,                0.41733,                0.69016,                0.69969,                0.70553,                0.41971,               0.021423,               0.016738,              0.0061839,              0.0058947,               0.009208,               0.009208,               0.009208
                     10,               0.027952,               0.016887,              0.0039067,               0.006318,                 0.6912,                0.72696,                0.75527,                0.44218,                 0.7023,                0.75431,                0.76862,                0.46113,               0.020218,               0.015454,              0.0057963,              0.0051197,               0.009109,               0.009109,               0.009109
                     11,               0.027897,               0.016813,              0.0039366,              0.0059967,                0.74894,                0.76384,                0.81186,                 0.4831,                0.75048,                0.75072,                0.79046,                 0.4866,               0.020242,               0.015387,              0.0057596,              0.0038957,                0.00901,                0.00901,                0.00901
                     12,               0.026853,               0.016848,              0.0038446,              0.0056187,                 0.8166,                0.74011,                 0.8275,                0.48149,                0.81836,                0.74652,                0.81015,                 0.4916,               0.019878,               0.015429,               0.005627,              0.0033284,               0.008911,               0.008911,               0.008911
                     13,               0.026211,               0.016591,              0.0037949,              0.0052355,                0.81097,                0.75125,                 0.8411,                0.50376,                0.79473,                0.74131,                0.82013,                0.51655,               0.018726,               0.014464,              0.0057009,              0.0030064,               0.008812,               0.008812,               0.008812
                     14,               0.025939,               0.015958,              0.0037343,              0.0050756,                0.75365,                0.78157,                0.82137,                0.51449,                0.82067,                0.73981,                0.82312,                0.52193,               0.019069,               0.014146,              0.0054967,              0.0038182,               0.008713,               0.008713,               0.008713
                     15,               0.025727,               0.016146,              0.0037121,              0.0043897,                0.82533,                0.80618,                0.86912,                0.52545,                0.82758,                0.80433,                 0.8659,                0.53156,               0.018511,               0.014588,              0.0053985,               0.003365,               0.008614,               0.008614,               0.008614
                     16,               0.024719,               0.016118,              0.0036547,              0.0048199,                0.74874,                0.74006,                0.80684,                0.49911,                0.74714,                0.73998,                0.79994,                0.48852,               0.019091,               0.015135,              0.0057329,              0.0058176,               0.008515,               0.008515,               0.008515
                     17,               0.024318,               0.015567,              0.0035839,              0.0042467,                0.80462,                0.73295,                0.80349,                0.49797,                0.80636,                0.73499,                0.80338,                 0.5093,               0.019069,               0.014467,              0.0054432,               0.003279,               0.008416,               0.008416,               0.008416
                     18,               0.023725,               0.015376,              0.0035383,              0.0037498,                0.77924,                0.78211,                0.83687,                0.52333,                0.78854,                0.78296,                0.84636,                0.51793,               0.017989,               0.014557,              0.0053655,              0.0040316,               0.008317,               0.008317,               0.008317
                     19,               0.024638,               0.015341,              0.0035698,              0.0039514,                0.85518,                0.82331,                0.88324,                0.56845,                  0.854,                0.81969,                0.87202,                0.55764,               0.018416,               0.013868,              0.0052078,              0.0025767,               0.008218,               0.008218,               0.008218
